solx.02.dlnVp.invSAo**  225.75
  165.30   24.24  -0.6056E-05
  165.50   24.75   0.7412E-06
  165.70   25.25   0.3360E-06
  165.91   25.76   0.2329E-07
  166.12   26.27  -0.3213E-08
  166.33   26.78  -0.1921E-08
  166.54   27.29  -0.5084E-09
  166.76   27.81  -0.2376E-09
  166.98   28.32  -0.1859E-09
  167.20   28.84   0.1557E-08
  167.42   29.36   0.1543E-08
  167.65   29.88  -0.6950E-09
  167.88   30.40  -0.1450E-08
  168.12   30.92  -0.1044E-07
  168.36   31.45  -0.1760E-07
  168.60   31.98  -0.1461E-07
  168.84   32.50  -0.6316E-08
  169.09   33.04   0.3429E-08
  169.35   33.57   0.2228E-07
  169.61   34.11   0.1377E-07
  169.87   34.64   0.1228E-07
  170.14   35.18   0.6435E-08
  170.42   35.73   0.1469E-09
  170.69   36.27  -0.1173E-09
  170.98   36.82  -0.3474E-10
  171.27   37.37   0.4076E-09
  171.57   37.92   0.1742E-09
  171.87   38.48  -0.7215E-10
  172.18   39.03  -0.1406E-10
  172.49   39.59  -0.9097E-12
  172.82   40.15  -0.3608E-11
  173.15   40.72   0.4237E-11
  173.49   41.29  -0.1444E-09
  173.83   41.86  -0.2445E-09
  174.19   42.43   0.5985E-08
  174.55   43.00   0.1168E-07
  174.92   43.58  -0.1475E-06
  175.31   44.16  -0.5140E-06
  175.70   44.75   0.1016E-05
  176.11   45.33   0.1723E-04
  176.52   45.92   0.5075E-04
  176.95   46.51  -0.2877E-03
  177.39   47.11  -0.1205E-02
  150.19  -21.34   0.2058E-03
  150.43  -20.71   0.7067E-03
  150.67  -20.08   0.4819E-03
  150.91  -19.45   0.1244E-03
  151.14  -18.83  -0.4825E-04
  151.37  -18.22  -0.3358E-04
  151.59  -17.60   0.6427E-06
  151.81  -16.99   0.1697E-05
  152.03  -16.38   0.2410E-08
  152.25  -15.78   0.1395E-04
  152.46  -15.18   0.1606E-04
  152.67  -14.59  -0.9948E-04
  152.88  -13.99  -0.2626E-03
  153.08  -13.40  -0.3466E-03
  153.29  -12.82   0.3805E-03
  153.49  -12.24   0.2269E-02
  153.69  -11.66  -0.3640E-02
  153.89  -11.08  -0.1397E-01
  154.08  -10.51  -0.5888E-02
  154.28   -9.94   0.3814E-02
  154.47   -9.37   0.1784E-01
  154.66   -8.81   0.5588E-01
  154.85   -8.25   0.6028E-01
  155.04   -7.69  -0.3882E-02
  155.22   -7.14  -0.1039E+00
  155.41   -6.58  -0.1510E+00
  155.59   -6.03  -0.9481E-01
  155.77   -5.49   0.7353E-01
  155.95   -4.94   0.9415E-01
  156.13   -4.40   0.2211E-01
  156.31   -3.86  -0.1096E-01
  156.49   -3.32  -0.3525E-02
  156.67   -2.78   0.2411E-02
  156.84   -2.25   0.4448E-03
  157.02   -1.72  -0.3798E-03
  157.19   -1.19  -0.9103E-04
  157.36   -0.66   0.1891E-04
  157.54   -0.14   0.7396E-05
  157.71    0.39  -0.1957E-06
  157.88    0.91  -0.3106E-06
  158.05    1.43  -0.2028E-07
  158.22    1.95   0.2459E-07
  158.39    2.47   0.3139E-07
  158.56    2.98  -0.2069E-07
  158.73    3.50  -0.1059E-07
  158.90    4.01  -0.2791E-07
  159.07    4.52  -0.1135E-07
  159.24    5.03  -0.1893E-07
  159.41    5.54   0.3661E-07
  159.58    6.05   0.1829E-07
  159.75    6.55  -0.7607E-08
  159.92    7.06  -0.2445E-08
  160.09    7.57   0.8319E-09
  160.26    8.07   0.9418E-10
  160.43    8.57  -0.1645E-09
  160.60    9.08   0.2716E-09
  160.77    9.58   0.2493E-08
  160.94   10.08  -0.5894E-08
  161.11   10.58  -0.8886E-07
  161.28   11.08  -0.4393E-07
  161.45   11.58   0.1726E-05
  161.62   12.08   0.4460E-05
  161.79   12.58  -0.1020E-04
